#{"t_start": 1775812281.8637247, "env_id": "None"}
r,l,t
-1.23,2,18.926831
-1.44,9,18.996083
-1.47,10,19.099069
-1.44,9,19.168342
0.0,2,19.16955
-1.2,1,19.202307
1.11,6,19.238446
-1.26,3,19.272423
-1.32,5,19.30735
-1.41,8,19.376068
-1.26,3,19.410134
1.08,7,19.478694
-1.23,2,19.479921
-1.2,1,19.480515
-1.29,4,19.514921
-1.2,1,19.547836
-1.2,1,19.548512
-0.09,5,19.583544
-0.21,9,19.653128
-0.03,3,19.687238
-1.23,2,19.720691
-1.38,7,19.757131
-0.21,9,19.860509
-1.29,4,19.895532
-1.23,2,19.896749
-1.26,3,19.930956
-0.54,20,20.104154
-1.62,15,20.241993
-1.32,5,20.277441
-1.26,3,20.311618
-1.38,7,20.348083
-0.03,3,20.382555
-1.23,2,20.416257
-0.12,6,20.452259
-1.35,6,20.520894
-1.2,1,20.521618
-1.2,1,20.522255
-1.23,2,20.556117
-1.26,3,20.557843
-1.38,7,20.627139
-1.26,3,20.661615
-1.5,11,20.765842
-1.23,2,20.767041
-1.23,2,20.801065
-1.2,1,20.801759
-1.44,9,20.873189
-1.38,7,20.943436
-1.26,3,20.978745
-1.23,2,20.979972
-0.33,13,21.086784
0.0,2,21.121125
-1.41,8,21.191775
-1.56,13,21.298369
-1.26,3,21.333324
-1.2,1,21.333957
-1.26,3,21.369107
-1.26,3,21.404073
-1.32,5,21.440134
-1.23,2,21.441422
-1.2,1,21.47543
-0.27,11,21.54828
-0.3,12,21.65565
-1.29,4,21.691333
-1.23,2,21.726112
-1.29,4,21.761881
-1.23,2,21.763457
-1.29,4,21.799137
-0.12,6,21.871437
-1.2,1,21.872149
-1.23,2,21.907082
-1.2,1,21.907776
-1.2,1,21.908462
-1.29,4,21.944519
-1.41,8,22.016312
-1.35,6,22.087496
-0.42,16,22.231993
-2.16,33,22.521304
-1.2,1,22.521952
-1.35,6,22.593898
-1.2,1,22.594643
-1.41,8,22.667154
-1.32,5,22.7041
-0.09,5,22.741539
-0.15,7,22.813895
-1.2,1,22.814637
-1.8,21,23.033284
-1.2,1,23.033977
-1.2,1,23.034642
0.84,15,23.180904
-1.47,10,23.255545
-0.12,6,23.327981
-0.12,6,23.365945
-1.26,3,23.402149
