#{"t_start": 1775819384.201737, "env_id": "None"}
r,l,t
0.87,14,7.383902
-0.51,19,7.403861
-0.21,9,7.413391
-0.24,10,7.42405
-0.45,17,7.441844
-1.41,8,7.450283
-0.27,11,7.462482
-0.06,4,7.467059
1.02,9,7.476989
-1.92,25,7.503055
-1.32,5,7.508409
-1.2,1,7.509615
-0.12,6,7.516077
-0.15,7,7.523624
-0.33,13,7.537384
-1.83,22,7.560302
-0.21,9,7.569923
-1.56,13,7.583527
-0.42,16,7.600355
-0.3,12,7.613126
-1.29,4,7.617443
-1.2,1,7.618639
-0.06,4,7.623042
-1.5,11,7.634579
-0.18,8,7.643128
-0.12,6,7.649725
-0.21,9,7.659321
0.9,13,7.673184
-0.78,28,7.865175
0.96,11,7.876956
-1.56,13,7.890554
-0.03,3,7.893888
4.59,13,7.908173
0.57,24,7.933367
-0.06,4,7.937751
2.25,9,7.947562
0.96,11,7.959463
-0.15,7,7.966976
-0.03,3,7.970324
1.2,3,7.973753
-0.15,7,7.981261
-1.35,6,7.98762
-0.21,9,7.997207
0.9,13,8.011001
-1.59,14,8.025624
-0.18,8,8.034279
0.84,15,8.050194
-1.32,5,8.055495
-0.69,25,8.081624
-0.36,14,8.096515
-0.15,7,8.104021
-0.15,7,8.111526
-0.06,4,8.115927
-1.59,14,8.130544
-1.2,1,8.131755
-0.24,10,8.142448
-0.06,4,8.146896
1.11,6,8.153518
0.9,13,8.167712
0.6,23,8.192347
-0.12,6,8.198799
-0.03,3,8.20217
1.74,26,8.229585
-0.06,4,8.233964
-0.87,31,8.266621
-0.06,4,8.271016
-0.21,9,8.280881
-1.2,1,8.282084
-1.2,1,8.283288
-1.65,16,8.300005
-0.06,4,8.304429
-0.66,24,8.329542
-1.44,9,8.339015
-0.21,9,8.348806
-0.18,8,8.357697
-0.21,9,8.367779
-0.36,14,8.382586
-0.33,13,8.396287
-0.12,6,8.566488
0.0,2,8.568855
-0.36,14,8.583803
-0.3,12,8.596435
2.16,12,8.6095
-1.38,7,8.616924
-0.09,5,8.622351
-0.03,3,8.625728
-0.69,25,8.652041
-0.33,13,8.666038
-0.15,7,8.673512
-0.21,9,8.683076
1.02,9,8.692825
-0.03,3,8.696198
1.05,8,8.704808
-0.18,8,8.713419
1.02,9,8.723251
-0.18,8,8.731834
1.2,3,8.735237
-0.18,8,8.743797
-0.21,9,8.75341
-1.2,1,8.754621
1.08,7,8.762262
-0.75,27,8.790409
-1.92,25,8.816403
-0.09,5,8.821978
-0.6,22,8.844972
0.9,13,8.858867
-0.09,5,8.864378
-0.24,10,8.874961
-0.18,8,8.883554
-0.09,5,8.888994
-0.27,11,8.90065
-0.27,11,8.912215
-0.09,5,8.917726
4.32,22,8.941264
-2.25,36,8.978639
-0.24,10,8.98936
-0.24,10,9.000061
0.84,15,9.016172
-0.09,5,9.021624
-0.3,12,9.034484
-0.09,5,9.039923
-0.33,13,9.053646
-0.03,3,9.057037
0.84,15,9.07337
-0.69,25,9.099576
-0.06,4,9.103966
-0.09,5,9.109379
3.09,22,9.295767
0.81,16,9.312859
-0.03,3,9.316219
-0.36,14,9.330978
-0.81,29,9.361561
-0.09,5,9.367065
-0.06,4,9.371478
0.21,77,9.451923
1.08,7,9.459785
1.56,32,9.494121
-0.03,3,9.497503
2.13,13,9.511671
-0.03,3,9.515045
1.17,4,9.519545
-0.3,12,9.532365
1.17,4,9.536902
1.02,9,9.546702
-0.33,13,9.560419
1.14,5,9.565935
3.21,18,9.585435
-0.12,6,9.592101
-0.06,4,9.596491
-0.36,14,9.61121
-0.06,4,9.615671
-0.24,10,9.626317
3.45,10,9.637296
-0.21,9,9.646847
-0.06,4,9.651283
2.01,17,9.669839
-1.2,1,9.671046
0.75,18,9.690055
2.28,8,9.698963
-0.15,7,9.706469
-1.11,39,9.747155
-0.33,13,9.761297
-0.12,6,9.767881
-0.15,7,9.775389
0.69,20,9.796741
-0.24,10,9.80736
0.0,2,9.809703
-0.63,23,9.996094
2.28,8,10.004836
0.87,14,10.019836
-0.72,26,10.047383
-0.18,8,10.055923
-0.15,7,10.063492
0.96,11,10.075439
-0.12,6,10.081897
0.0,2,10.084229
-0.15,7,10.091703
3.39,12,10.104771
-0.12,6,10.111327
0.93,12,10.124335
1.14,5,10.129881
-0.36,14,10.144542
2.01,17,10.163073
-0.27,11,10.17469
2.04,16,10.191922
-0.09,5,10.197485
-0.12,6,10.203924
1.14,5,10.209461
-0.21,9,10.219166
-0.09,5,10.224622
0.99,10,10.235355
1.8,24,10.260882
-0.21,9,10.270481
-0.15,7,10.277975
-0.18,8,10.286492
1.05,8,10.2952
-0.09,5,10.300681
1.14,5,10.30628
-0.21,9,10.315809
2.07,15,10.33224
1.08,7,10.339841
-0.15,7,10.347394
-0.48,18,10.366922
-0.63,23,10.391167
1.17,4,10.395697
-0.09,5,10.401201
-0.27,11,10.412976
-0.96,34,10.448513
0.99,10,10.459527
1.74,26,10.48806
0.69,20,10.509348
-0.09,5,10.514764
3.27,16,10.532205
-0.12,6,10.700786
0.63,22,10.724579
1.05,8,10.733263
-0.12,6,10.739748
2.04,16,10.75686
1.08,7,10.764491
5.31,30,10.79674
-0.06,4,10.801146
-0.09,5,10.806532
-0.3,12,10.819371
3.12,21,10.842325
-1.32,5,10.847673
2.31,7,10.855385
-0.21,9,10.865015
-0.18,8,10.873577
1.89,21,10.895965
0.99,10,10.906796
-0.06,4,10.911188
1.83,23,10.936037
2.1,14,10.951375
3.21,18,10.970948
1.17,4,10.975451
-0.27,11,10.987079
1.08,7,10.994788
4.2,26,11.022929
-0.09,5,11.028343
0.9,13,11.042404
2.19,11,11.054501
3.48,9,11.064458
1.08,7,11.07217
2.1,55,11.129889
2.88,29,11.161278
2.37,5,11.166926
-0.03,3,11.170308
0.66,21,11.192762
0.99,10,11.203576
-0.42,16,11.220772
-0.21,9,11.230345
0.0,2,11.232692
2.16,12,11.245759
-0.36,14,11.422222
1.05,8,11.431041
0.6,23,11.455438
2.82,31,11.489277
0.72,19,11.509675
3.3,15,11.526175
2.94,27,11.555253
-0.12,6,11.561731
3.21,18,11.581134
4.23,25,11.608259
-0.09,5,11.613677
2.31,7,11.621492
0.78,17,11.639718
-1.23,2,11.641962
-0.24,10,11.652782
-0.21,9,11.662465
5.28,31,11.696294
-0.12,6,11.702785
-0.03,3,11.706123
-0.09,5,11.711601
1.68,28,11.741114
2.04,16,11.758304
-0.12,6,11.764773
4.11,29,11.79593
2.25,9,11.805764
0.9,13,11.819755
1.02,9,11.829413
-0.36,14,11.844157
3.18,19,11.864865
-0.06,4,11.869306
-1.23,2,11.871549
-0.12,6,11.878023
-0.48,18,11.897368
1.05,8,11.906185
-0.09,5,11.911726
0.93,12,11.924737
1.86,22,11.948226
1.11,6,11.954774
6.45,33,12.152155
-0.03,3,12.155585
0.75,18,12.174922
3.0,25,12.202041
4.29,23,12.226932
5.67,18,12.246642
2.16,12,12.259787
1.83,23,12.284348
-0.24,10,12.295122
-1.2,1,12.296332
3.15,20,12.317911
-0.06,4,12.322262
-0.48,18,12.341159
-0.12,6,12.347669
4.98,41,12.392908
-0.03,3,12.396334
2.25,9,12.406235
0.87,14,12.421232
-0.36,14,12.436262
9.81,44,12.484304
5.85,53,12.541574
0.75,18,12.560852
0.84,15,12.577108
4.11,29,12.608643
4.32,22,12.63246
7.8,29,12.664091
