#{"t_start": 1775812070.2893043, "env_id": "None"}
r,l,t
-49.7,4,6.563542
-48.3,18,6.589628
-49.9,2,6.594866
-49.7,4,6.601391
-49.6,5,6.608181
-49.8,3,6.613897
-46.8,14,6.633976
-47.5,26,6.676669
-49.1,10,6.690596
-49.7,4,6.696993
-47.1,11,6.715431
-49.0,11,6.735077
-47.9,3,6.73706
-49.5,6,6.748484
-49.6,5,6.755313
-48.9,12,6.774065
-49.6,5,6.781094
-46.7,15,6.805934
-49.5,6,6.817449
-49.0,11,6.831213
-49.9,2,6.836298
-47.9,22,6.868579
-50.0,1,6.873128
-50.0,1,6.873801
-45.5,27,6.917009
-50.0,1,6.917649
-50.0,1,6.918241
-49.0,11,6.936489
-49.6,5,6.94322
-49.2,9,6.956518
-49.6,5,6.96724
-49.8,3,6.969328
-49.5,6,6.980732
-50.0,1,6.981332
-49.4,7,6.993669
-50.0,1,6.994331
-49.2,9,7.007625
-44.1,22,7.04456
-49.4,7,7.056139
-49.0,11,7.070876
-47.3,9,7.087984
-47.9,3,7.089901
-48.8,13,7.113236
-50.0,1,7.113922
-49.9,2,7.115044
-49.0,11,7.133362
-49.2,9,7.146345
-46.9,13,7.169513
-47.5,26,7.208351
-49.9,2,7.213423
-49.5,6,7.220739
-49.2,9,7.234384
-49.3,8,7.246457
-49.0,11,7.264319
-49.4,7,7.276146
-45.5,8,7.28888
-47.9,3,7.294565
-47.9,3,7.296808
-49.9,2,7.301987
-49.1,10,7.31574
-44.0,42,7.383663
-49.4,7,7.395422
-49.9,2,7.396572
-46.9,13,7.416928
-49.4,7,7.428615
-49.7,4,7.434866
-46.7,15,7.459956
-49.5,6,7.467432
-48.0,2,7.472558
-49.5,6,7.480074
-48.4,17,7.509956
-47.7,5,7.517386
-47.5,7,7.529291
-49.1,10,7.542776
-48.0,2,7.547908
-49.6,5,7.555107
-48.7,14,7.574927
-46.6,16,7.599674
-48.0,2,7.605134
-47.9,3,7.611044
-49.4,7,7.61904
-49.1,10,7.637012
-47.1,11,7.65557
-50.0,1,7.656269
-43.0,52,7.738075
-50.0,1,7.738683
-49.8,3,7.744311
-48.5,16,7.769287
-49.4,7,7.781533
-47.9,3,7.7833
-49.7,4,7.789566
-49.3,8,7.802371
-49.0,11,7.820227
-45.4,9,7.8334
-49.9,2,7.83848
-49.4,7,7.85045
-47.7,24,7.888054
-48.4,17,7.913295
-47.7,24,7.951511
-49.6,5,7.958424
-47.3,9,7.971783
-49.7,4,7.97793
-47.2,10,7.996227
-49.5,6,8.004136
-49.6,5,8.015028
-49.7,4,8.021665
-48.9,12,8.040608
-48.4,17,8.066476
-48.5,16,8.091346
-49.0,11,8.109899
-49.3,8,8.122392
-50.0,1,8.123055
-50.0,1,8.123681
-49.9,2,8.128922
-49.3,8,8.141601
-48.6,15,8.162619
-47.4,8,8.175377
-49.6,5,8.186062
-48.0,21,8.218539
-49.8,3,8.224155
-49.9,2,8.22531
-47.3,28,8.26972
-49.4,7,8.281841
-49.8,3,8.287637
-49.6,5,8.294559
-49.1,10,8.308287
-49.6,5,8.319499
-48.6,15,8.339953
-49.9,2,8.345133
-49.0,11,8.363437
-48.2,19,8.390015
